Frame,DeltaTime,ComputeTime,RenderTime
0,0.100309,0.0985049,0.0014339
1,0.101529,0.0992681,0.0013663
2,0.102024,0.0999557,0.0014507
3,0.101206,0.0988835,0.0014464
4,0.101968,0.0996943,0.0014133
5,0.102269,0.0998689,0.0014411
6,0.105097,0.102253,0.0016073
7,0.105872,0.102832,0.0014941
8,0.105655,0.10294,0.0015994
9,0.105226,0.102668,0.0014368
10,0.102208,0.0997576,0.0014785
11,0.102332,0.0999077,0.0014321
12,0.102664,0.100224,0.0014573
13,0.102294,0.0997568,0.0014829
14,0.101641,0.0992499,0.0014429
15,0.101455,0.0989445,0.0015127
16,0.101798,0.0992167,0.0014772
17,0.103278,0.100856,0.0014415
18,0.101799,0.0994505,0.0014156
19,0.101854,0.099266,0.0014684
20,0.101849,0.0995571,0.0013677
21,0.10293,0.100532,0.0014477
22,0.103561,0.100661,0.0014775
23,0.101836,0.0992095,0.0014733
24,0.102465,0.0997483,0.0014672
25,0.101522,0.0991636,0.0014004
26,0.102685,0.100271,0.001395
27,0.102859,0.100352,0.0013868
28,0.101942,0.0991723,0.0015419
29,0.102577,0.100061,0.001355
30,0.101736,0.0991747,0.0014777
31,0.101158,0.0986559,0.0014666
32,0.101174,0.0994408,0.0013905
33,0.101668,0.0998295,0.0014343
34,0.101543,0.0997679,0.0014489
35,0.100869,0.0990246,0.001487
36,0.101582,0.0998909,0.0013529
37,0.101042,0.0992765,0.0014371
38,0.101314,0.0994833,0.001499
39,0.100988,0.0992373,0.0014097
40,0.101618,0.0998501,0.0013992
41,0.103833,0.10199,0.0014367
42,0.116656,0.114752,0.0015293
43,0.106152,0.104296,0.0014832
44,0.110168,0.107779,0.0018879
45,0.119062,0.117032,0.0016498
46,0.104053,0.102235,0.0014584
47,0.103147,0.101392,0.0014084
48,0.103452,0.101562,0.0014188
49,0.104975,0.103146,0.0014688
50,0.102661,0.100877,0.0014383
51,0.101945,0.100023,0.0014294
52,0.103602,0.101795,0.0014587
53,0.103738,0.101853,0.0013976
54,0.10738,0.105531,0.0014238
55,0.102684,0.100836,0.0014757
56,0.102974,0.10114,0.0014775
57,0.102568,0.100677,0.0014564
58,0.111075,0.109154,0.0015075
59,0.103047,0.101266,0.001441
60,0.102638,0.10081,0.0015037
61,0.102766,0.100951,0.0014899
62,0.10249,0.100608,0.00144
63,0.103728,0.101638,0.0016291
64,0.102991,0.101161,0.0014626
65,0.104949,0.103057,0.0014947
66,0.108488,0.106777,0.0013594
67,0.100926,0.0991852,0.0014051
68,0.101497,0.0997645,0.0013817
69,0.102552,0.10081,0.0014208
70,0.102279,0.100498,0.0014564
71,0.101998,0.100239,0.0014215
72,0.102268,0.100525,0.0014154
73,0.101329,0.0995382,0.0014655
74,0.10287,0.100918,0.0015879
75,0.102696,0.100283,0.0014587
76,0.102036,0.0996057,0.0014455
77,0.101291,0.0995336,0.0014251
78,0.102651,0.100893,0.0014163
79,0.104677,0.102951,0.0013779
80,0.104627,0.102897,0.0014031
81,0.101766,0.0999489,0.0014798
82,0.101307,0.0995509,0.0014343
83,0.101572,0.0998118,0.001429
84,0.101368,0.0996457,0.0013917
85,0.101508,0.0997404,0.0014316
86,0.101631,0.0998283,0.0014748
87,0.102608,0.100817,0.0014671
88,0.101047,0.0992557,0.0014033
89,0.101912,0.100135,0.0014491
90,0.101231,0.0994384,0.0014541
91,0.101883,0.10019,0.0013475
92,0.101662,0.099508,0.0014863
93,0.101224,0.0994611,0.0014315
94,0.104004,0.102212,0.0014539
95,0.101895,0.10012,0.001446
96,0.104949,0.103104,0.0015028
97,0.102601,0.100827,0.0014291
98,0.102701,0.100858,0.0014412
99,0.101837,0.0999682,0.001459
100,0.101332,0.0995479,0.0014617
101,0.101482,0.0996885,0.0014524
102,0.10163,0.099907,0.0013737
103,0.101621,0.0998384,0.0014483
104,0.102284,0.100562,0.0013818
105,0.101334,0.0996094,0.0013988
106,0.101782,0.100005,0.0014444
107,0.101663,0.0998763,0.0014573
108,0.101463,0.0997958,0.001337
109,0.102132,0.100369,0.0014263
110,0.101136,0.0993951,0.0014149
111,0.106198,0.1044,0.0014567
112,0.102294,0.10046,0.0014938
113,0.10216,0.100368,0.0014588
114,0.102543,0.100747,0.001456
115,0.102588,0.100765,0.0014916
116,0.102801,0.101035,0.0014338
117,0.102321,0.100283,0.0015271
118,0.10214,0.100313,0.0014566
119,0.101659,0.0999231,0.0014177
120,0.100971,0.0993129,0.001334
121,0.102229,0.100219,0.0014612
122,0.101225,0.0993779,0.0014958
123,0.103819,0.102019,0.0014482
124,0.101935,0.10013,0.0014143
125,0.102357,0.100578,0.0014417
126,0.102261,0.100469,0.0014614
127,0.102917,0.101152,0.001433
128,0.102803,0.101027,0.0014516
129,0.102397,0.100468,0.0014854
130,0.101233,0.0992776,0.0014792
131,0.101565,0.0997756,0.0014478
132,0.102072,0.10033,0.0014159
133,0.100391,0.0986666,0.001387
134,0.104574,0.102908,0.001339
135,0.1022,0.100429,0.0014473
136,0.101177,0.0994838,0.0013629
137,0.101713,0.0998972,0.0014768
138,0.100327,0.0985385,0.0014554
139,0.102463,0.100659,0.0014775
140,0.102005,0.100189,0.0014758
141,0.102849,0.101035,0.0014834
142,0.102083,0.100295,0.0014618
143,0.103372,0.101526,0.0015115
144,0.101986,0.100176,0.0014291
145,0.102769,0.10088,0.0015095
146,0.102289,0.10049,0.0014703
147,0.100877,0.0990401,0.0013991
148,0.102069,0.100312,0.0014299
149,0.100975,0.0992198,0.001418
150,0.101012,0.0992283,0.001449
151,0.1024,0.100636,0.0014457
152,0.102614,0.100791,0.0014898
153,0.102256,0.100474,0.0014645
154,0.102296,0.100485,0.0014665
155,0.102253,0.100536,0.0013943
156,0.10202,0.100188,0.0014313
157,0.102606,0.100813,0.00145
158,0.102835,0.10108,0.0014304
159,0.102322,0.100491,0.0014438
160,0.100803,0.0989899,0.0014705
161,0.100747,0.0989457,0.0014196
162,0.101554,0.0997384,0.0014795
163,0.101982,0.100212,0.001434
164,0.102063,0.100361,0.0013765
165,0.101167,0.0993266,0.001409
166,0.101299,0.0995363,0.0014141
167,0.100858,0.0990973,0.0014328
168,0.101825,0.100053,0.0014413
169,0.101498,0.0996877,0.0014705
170,0.100461,0.0986634,0.0014564
171,0.10204,0.10024,0.001467
172,0.102293,0.100376,0.0014583
173,0.101698,0.0999304,0.0014352
174,0.105154,0.103391,0.0014395
175,0.101102,0.099305,0.0014594
176,0.102071,0.100317,0.001397
177,0.101692,0.0998986,0.0014703
178,0.101672,0.0999026,0.0014507
179,0.101558,0.0997159,0.0014555
180,0.102868,0.101111,0.0014158
181,0.102504,0.100646,0.0014306
182,0.101534,0.0997661,0.0014436
183,0.101544,0.0994339,0.0014637
184,0.101665,0.0999124,0.0014221
185,0.101988,0.100206,0.0014529
186,0.102202,0.100361,0.0014991
187,0.102674,0.100753,0.0015753
188,0.102587,0.100786,0.0014732
189,0.101556,0.0997565,0.0014601
190,0.101842,0.100047,0.0014566
191,0.100749,0.0989454,0.0014749
192,0.102884,0.101089,0.0014653
193,0.101391,0.0996964,0.0013556
194,0.102697,0.100974,0.0014
195,0.101697,0.0999076,0.0014543
196,0.102634,0.100841,0.001462
197,0.101856,0.100072,0.0014553
198,0.102209,0.10042,0.0014497
199,0.101116,0.0993296,0.001452
200,0.10149,0.0996888,0.0014694
201,0.100272,0.0985057,0.0014341
202,0.102582,0.100818,0.0014348
203,0.102676,0.100897,0.0014383
204,0.101321,0.0995398,0.0014518
205,0.102427,0.100642,0.0014599
206,0.102016,0.100246,0.0014382
207,0.101395,0.0996334,0.0014342
208,0.102802,0.101047,0.0014334
209,0.100705,0.0989343,0.001439
210,0.102386,0.100503,0.0015426
211,0.102174,0.100413,0.0014296
212,0.102288,0.100456,0.0015127
213,0.101562,0.0998208,0.0014055
214,0.102315,0.100567,0.0014174
215,0.102472,0.100644,0.0014771
216,0.101945,0.100108,0.0014859
217,0.102042,0.100335,0.0013791
218,0.101009,0.0991071,0.0014301
219,0.102081,0.100275,0.0014505
220,0.101448,0.0996209,0.0014905
221,0.102101,0.100174,0.0015141
222,0.103085,0.101343,0.0013866
223,0.101832,0.100043,0.0014463
224,0.102475,0.100716,0.0014376
225,0.10209,0.100353,0.0014082
226,0.102358,0.100572,0.0014501
227,0.101423,0.0997016,0.0013268
228,0.10081,0.0989814,0.0014848
229,0.100917,0.0991101,0.0014703
230,0.101912,0.100142,0.0014247
231,0.101475,0.0997438,0.0013897
232,0.101821,0.100024,0.0014665
233,0.101594,0.0997938,0.0014711
234,0.102164,0.100305,0.0014807
235,0.102092,0.100295,0.0014638
236,0.101632,0.0998084,0.0014776
237,0.102003,0.100156,0.0015201
238,0.10038,0.0986107,0.0014425
239,0.10147,0.0994979,0.001432
240,0.102325,0.100512,0.0014742
241,0.101182,0.099449,0.0014035
242,0.101862,0.100101,0.0014289
243,0.101935,0.100147,0.0014645
244,0.101595,0.0997074,0.0014847
245,0.101316,0.0995176,0.0014394
246,0.102203,0.100419,0.0014549
247,0.101314,0.0995513,0.0014382
248,0.101444,0.0996609,0.0014389
249,0.102421,0.100692,0.0013806
250,0.10174,0.100102,0.0013232
251,0.102005,0.100318,0.0013472
252,0.102809,0.101007,0.0014695
253,0.102105,0.100355,0.0014321
254,0.102856,0.101116,0.0014176
255,0.101251,0.0993557,0.0014595
256,0.102781,0.100978,0.0014621
257,0.102018,0.100245,0.0014527
258,0.101207,0.0992982,0.0014695
259,0.100846,0.0990675,0.0014137
260,0.101553,0.0997418,0.0014818
261,0.102199,0.100448,0.0014154
262,0.100936,0.0991785,0.0014276
263,0.102338,0.100573,0.0014397
264,0.10244,0.100644,0.0014676
265,0.101261,0.0994712,0.0014495
266,0.101718,0.0999324,0.0014593
267,0.101872,0.100052,0.0014674
268,0.100722,0.0989046,0.0014685
269,0.101001,0.0993316,0.0013587
270,0.102236,0.100267,0.0014941
271,0.100908,0.0991107,0.0014652
272,0.101846,0.100066,0.0014372
273,0.10095,0.0991547,0.0014643
274,0.101492,0.0997975,0.0013612
