Frame,DeltaTime,ComputeTime,RenderTime
0,0.0058603,0.0052093,0.000351
1,0.0060906,0.0050803,0.0003283
2,0.0056753,0.0051356,0.0003216
3,0.0058535,0.0051727,0.0003648
4,0.0056543,0.0051076,0.0003198
5,0.0056856,0.0051382,0.0003264
6,0.0058298,0.0052084,0.0003375
7,0.0057633,0.005212,0.000334
8,0.0062898,0.0056185,0.0003908
9,0.0059408,0.0052919,0.0003399
10,0.0059937,0.0053474,0.0003376
11,0.0061763,0.0054737,0.0003478
12,0.0058423,0.0052737,0.0003254
13,0.0059842,0.0052385,0.0003529
14,0.0057334,0.0051458,0.0003307
15,0.0057078,0.0051724,0.0003218
16,0.0059006,0.0052438,0.0003522
17,0.005827,0.0051993,0.0003379
18,0.0058689,0.0052104,0.0003406
19,0.0058558,0.0051985,0.0003502
20,0.0058571,0.0052218,0.0003384
21,0.0058509,0.0051912,0.0003449
22,0.0057793,0.0051938,0.00033
23,0.0057882,0.0051617,0.0003372
24,0.0058593,0.0052484,0.000341
25,0.0056657,0.0050899,0.0003382
26,0.0056188,0.0050627,0.0003277
27,0.0059885,0.005349,0.0003489
28,0.0056342,0.0050794,0.0003188
29,0.005613,0.0050853,0.000325
30,0.0058382,0.0052015,0.0003792
31,0.0056394,0.0051055,0.0003285
32,0.0058023,0.0052093,0.0003252
33,0.0055384,0.005026,0.0003152
34,0.0055741,0.0050644,0.0003152
35,0.0055872,0.0050461,0.0003152
36,0.0055449,0.0050299,0.0003195
37,0.005574,0.005074,0.0003152
38,0.0055884,0.0050614,0.0003122
39,0.0055417,0.005041,0.0003167
40,0.005581,0.005066,0.0003169
41,0.0055978,0.0050479,0.000319
42,0.005782,0.0050486,0.0003259
43,0.0057012,0.0050244,0.000464
44,0.0056858,0.0050555,0.0003497
45,0.0056051,0.0050265,0.0003423
46,0.0056507,0.005096,0.0003402
47,0.0062515,0.0051671,0.0003362
48,0.0064629,0.0051787,0.0003436
49,0.0065871,0.0051594,0.0003278
50,0.0066371,0.0051245,0.0003438
51,0.0062528,0.005062,0.0003422
52,0.0061006,0.005054,0.0003324
53,0.005756,0.0051667,0.0003325
54,0.0064082,0.0052337,0.0003404
55,0.0064381,0.0050595,0.0003362
56,0.0062655,0.0050872,0.0003058
57,0.0063859,0.0050661,0.000339
58,0.0063259,0.0051571,0.0003302
59,0.006332,0.0052253,0.0003337
60,0.0061643,0.0051292,0.0003375
61,0.006173,0.0050801,0.0003351
62,0.0060733,0.0050856,0.0003257
63,0.0061118,0.0050626,0.0003269
64,0.006603,0.0052722,0.000352
65,0.0064166,0.0051982,0.0003486
66,0.0062592,0.0055444,0.0003632
67,0.0065415,0.0053602,0.0003419
68,0.0058052,0.0051049,0.000344
69,0.0058988,0.0053,0.0003328
70,0.0056184,0.0050751,0.0003318
71,0.0064401,0.0051664,0.000357
72,0.0056907,0.0051207,0.000329
73,0.0056387,0.0051014,0.0003259
74,0.0057754,0.0052221,0.000331
75,0.00638,0.0051552,0.0003416
76,0.0057535,0.005111,0.0003433
77,0.0060755,0.0053393,0.0003556
78,0.0057915,0.0051159,0.0003414
79,0.0059543,0.0052924,0.0003432
80,0.0059124,0.00521,0.000346
81,0.0057124,0.0051669,0.0003264
82,0.0064155,0.0052141,0.0003463
83,0.0056116,0.0050327,0.0003353
84,0.005854,0.005074,0.0003222
85,0.0060122,0.0053012,0.0003655
86,0.0057533,0.0051864,0.0003296
87,0.006763,0.0053487,0.0004073
88,0.0062775,0.0050816,0.0003545
89,0.0057462,0.0051824,0.0003382
90,0.0058783,0.0052982,0.0003378
91,0.0057034,0.0051404,0.0003398
92,0.0065357,0.0053134,0.0003351
93,0.0056064,0.0050441,0.000334
94,0.0056775,0.0050603,0.0003341
95,0.0063575,0.0051974,0.000342
96,0.0061292,0.0050472,0.0003357
97,0.0056169,0.0050467,0.0003341
98,0.0056475,0.0050277,0.0003256
99,0.0057343,0.0050607,0.0003798
100,0.0063557,0.0051424,0.0003219
101,0.0057224,0.0050705,0.0003856
102,0.0055959,0.0050886,0.0003167
103,0.0055787,0.0050106,0.000327
104,0.0062121,0.0050612,0.0003253
105,0.005762,0.0050897,0.0003284
106,0.0089766,0.0074862,0.000501
107,0.0056594,0.005063,0.000331
108,0.006323,0.0050699,0.0003276
109,0.0063863,0.0051528,0.0003821
110,0.0066525,0.0052161,0.0003588
111,0.0061828,0.0051148,0.0003337
112,0.0056189,0.0050416,0.0003287
113,0.0062767,0.0050658,0.0003315
114,0.0065997,0.005082,0.0003336
115,0.0058638,0.0052599,0.0003377
116,0.0062083,0.0050769,0.0003217
117,0.0057415,0.0050989,0.0003347
118,0.0067552,0.0051412,0.0003402
119,0.006308,0.0050934,0.0003426
120,0.0064602,0.0052181,0.0003398
121,0.0056516,0.0050742,0.000329
122,0.0062838,0.0051235,0.0003444
123,0.0064889,0.0052462,0.0003503
124,0.0058364,0.0052245,0.0003511
125,0.0067187,0.0053574,0.0003352
126,0.0063959,0.0052437,0.000343
127,0.0063029,0.0051441,0.0003395
128,0.0065697,0.0051852,0.0003525
129,0.0056413,0.0050157,0.0003248
130,0.0066546,0.0051917,0.0003288
131,0.0064406,0.0051201,0.0003407
132,0.0061674,0.0049938,0.0003743
133,0.005854,0.0051747,0.0003321
134,0.0062122,0.0050177,0.0003578
135,0.0057539,0.0050726,0.0004131
136,0.0063892,0.0051652,0.0003397
137,0.0056544,0.0050168,0.0004046
138,0.0060939,0.0052815,0.0003967
139,0.0055723,0.0050061,0.0003272
140,0.0065137,0.0051173,0.000326
141,0.0058602,0.0051488,0.0003338
142,0.0055986,0.0050413,0.0003251
143,0.0065618,0.0052139,0.0003724
144,0.0056461,0.0050246,0.0003355
145,0.0061189,0.0050696,0.0003242
146,0.0065805,0.0052418,0.0003364
147,0.0056604,0.0050919,0.0003273
148,0.0058943,0.0052471,0.0003361
149,0.005621,0.0050639,0.0003282
150,0.0062708,0.0051092,0.0003361
151,0.0056826,0.0051185,0.0003271
152,0.0056095,0.0050808,0.0003218
153,0.0056041,0.0050694,0.0003175
154,0.0063565,0.0057587,0.0003387
155,0.0062115,0.005084,0.0003218
156,0.0061922,0.0055242,0.0003416
157,0.0056659,0.00512,0.0003301
158,0.0057574,0.0051384,0.0003457
159,0.00672,0.0052803,0.00035
160,0.0057707,0.005106,0.0003246
161,0.0059481,0.0052216,0.0003107
162,0.0063075,0.0051902,0.0003398
163,0.0058128,0.0052299,0.0003573
164,0.0059782,0.0052765,0.0003611
165,0.006087,0.0053823,0.0003585
166,0.0062733,0.0055701,0.0003507
167,0.0065428,0.005349,0.0003369
168,0.0057892,0.0051134,0.000348
169,0.0058713,0.0051899,0.0003365
170,0.0056904,0.0050636,0.00032
171,0.0058672,0.0050649,0.0003294
172,0.0057652,0.0051045,0.0003344
173,0.0056439,0.0050561,0.0003223
174,0.0059049,0.0052406,0.0003363
175,0.0056713,0.0050534,0.0003235
176,0.005655,0.0050409,0.0003308
177,0.0061624,0.0053766,0.0003529
178,0.0060414,0.0052166,0.000387
179,0.0060367,0.005304,0.0003623
180,0.0058991,0.0052084,0.0003497
181,0.0058226,0.0051175,0.0003655
182,0.0059031,0.0052554,0.0003444
183,0.0057032,0.0051047,0.0003114
184,0.0056807,0.0050686,0.0003269
185,0.0058825,0.0052252,0.0003428
186,0.0056229,0.00503,0.0003251
187,0.0057427,0.0051028,0.0003474
188,0.0056212,0.0050428,0.0003333
189,0.0056665,0.005111,0.0003236
190,0.0058134,0.0052558,0.0003273
191,0.0057109,0.0051249,0.0003295
192,0.0057606,0.0051962,0.0003299
193,0.0059188,0.0053195,0.0003449
194,0.0058095,0.0052286,0.0003278
195,0.0056303,0.005076,0.0003301
196,0.0058167,0.0052553,0.000329
197,0.0057426,0.0052104,0.0003295
198,0.0056925,0.0050724,0.0003974
199,0.0056817,0.0051279,0.0003287
200,0.0056499,0.0050529,0.0003525
201,0.0058331,0.0052531,0.0003371
202,0.0057507,0.0051577,0.0003343
203,0.0057145,0.005137,0.0003344
204,0.0059679,0.0053417,0.0003466
205,0.0058603,0.0052833,0.0003369
206,0.0056794,0.0051454,0.0003268
207,0.0058351,0.0052232,0.0003673
208,0.0057005,0.0051712,0.0003146
209,0.005823,0.0051907,0.000333
210,0.0064022,0.0051567,0.0003274
211,0.0057668,0.0050999,0.0003378
212,0.0059474,0.0052574,0.0003523
213,0.0062387,0.0051313,0.0003333
214,0.0055772,0.0050344,0.0003275
215,0.0065388,0.005289,0.0003429
216,0.0056065,0.0050832,0.0003017
217,0.0057742,0.0052342,0.0003269
218,0.0056548,0.0051212,0.0003226
219,0.0055809,0.0050579,0.0003286
220,0.0056885,0.0051543,0.0003262
221,0.0055894,0.005065,0.0003239
222,0.0056441,0.0051162,0.0003207
223,0.005721,0.0051445,0.0003352
224,0.0056715,0.0051162,0.0003242
225,0.0058124,0.0052186,0.0003444
226,0.0062453,0.0051445,0.0003331
227,0.0056686,0.005048,0.0003448
228,0.0059659,0.0053243,0.0003427
229,0.0056019,0.0050416,0.0003327
230,0.0056121,0.005065,0.0003451
231,0.0057473,0.0051532,0.000334
232,0.0055731,0.0050139,0.0003274
233,0.0058577,0.0052633,0.0003312
234,0.0056391,0.0050726,0.0003257
235,0.0057677,0.0051397,0.000337
236,0.0059314,0.0052977,0.0003352
237,0.0057801,0.005186,0.0003294
238,0.0056306,0.0050832,0.0003224
239,0.0057122,0.005162,0.0003291
240,0.0055988,0.0050753,0.0003218
241,0.0058063,0.0052362,0.00034
242,0.00583,0.005172,0.0003421
243,0.0058558,0.0051389,0.000369
244,0.0059851,0.0053087,0.000344
245,0.0058158,0.0051717,0.0003366
246,0.0057936,0.0051082,0.0003322
247,0.0059322,0.0053092,0.0003684
248,0.0056066,0.0050467,0.0003426
249,0.0060071,0.0053576,0.0003434
250,0.0055407,0.0049633,0.0003438
251,0.0057443,0.0051885,0.0003231
252,0.0056358,0.0050506,0.0003509
253,0.0056056,0.0050703,0.0003215
254,0.0056786,0.0051263,0.0003212
255,0.0057521,0.0051558,0.0003323
256,0.005709,0.0050843,0.0003642
257,0.0058112,0.00519,0.0003348
258,0.0056689,0.0050899,0.0003328
259,0.0057257,0.0051504,0.0003305
260,0.0058118,0.0052256,0.0003333
261,0.005694,0.0051328,0.0003281
262,0.0056947,0.005169,0.0003231
263,0.0058318,0.0052622,0.0003336
264,0.0058218,0.0052,0.0003395
265,0.0055954,0.0050436,0.0003186
266,0.0055334,0.0050141,0.0003159
267,0.0055514,0.0050444,0.0003148
268,0.0057303,0.0051225,0.0003382
269,0.0055381,0.0050361,0.0003159
270,0.0055624,0.0050649,0.0003157
271,0.0056387,0.0050888,0.0003244
272,0.0055698,0.0050285,0.0003457
273,0.0055552,0.0050531,0.0003186
274,0.005706,0.0051474,0.0003264
275,0.0055774,0.0050664,0.0003154
276,0.0055526,0.0050406,0.0003153
277,0.0056052,0.0050454,0.0003266
278,0.0055578,0.0050497,0.000318
279,0.0056177,0.0050238,0.0003403
280,0.0056664,0.0051147,0.0003311
281,0.0057569,0.0050743,0.0003485
282,0.0059831,0.0051235,0.0004321
283,0.0056699,0.0050391,0.0003747
284,0.0056294,0.005088,0.0003261
285,0.0057446,0.0052031,0.0003311
286,0.0058152,0.0051972,0.0003376
287,0.0057247,0.0051371,0.0003394
288,0.0060192,0.0053643,0.0003422
289,0.0057316,0.0051726,0.0003238
290,0.0058429,0.0050695,0.0003226
291,0.0056727,0.0051066,0.000324
292,0.0055785,0.0050465,0.0003251
293,0.0056537,0.0050901,0.0003444
294,0.0055502,0.0050392,0.0003128
295,0.0055389,0.0050324,0.0003147
296,0.0057271,0.005122,0.0003183
297,0.005623,0.0050318,0.0003275
298,0.0055946,0.0050437,0.0003164
299,0.0056788,0.0051253,0.0003177
300,0.0056344,0.0050432,0.0003178
301,0.005532,0.0049708,0.0003228
302,0.0056969,0.0051214,0.0003272
303,0.0056591,0.0051352,0.0003184
304,0.0055892,0.0050661,0.0003171
305,0.0055195,0.0050172,0.0002978
306,0.0055372,0.0050381,0.0003138
307,0.0060434,0.0052482,0.0004215
308,0.0058961,0.005288,0.0003262
309,0.0056817,0.0050771,0.0003398
310,0.0056992,0.0050832,0.0003236
311,0.0056244,0.0050393,0.0003244
312,0.0056452,0.0050676,0.0003159
313,0.005617,0.0050761,0.0003195
314,0.0055718,0.005047,0.0003139
315,0.0058009,0.0050475,0.0003188
316,0.0055674,0.0050302,0.0003211
317,0.0056129,0.0050661,0.0003284
318,0.0058186,0.0052589,0.0003242
319,0.005685,0.0050902,0.0003273
320,0.005678,0.005078,0.0003227
321,0.0057804,0.0051744,0.0003345
322,0.0056081,0.0050334,0.000328
