Frame,DeltaTime,ComputeTime,RenderTime
0,0.0012963,0.0006284,0.0003315
1,0.0016596,0.0005981,0.0003308
2,0.0011092,0.0005696,0.0003344
3,0.0011478,0.0006372,0.0003257
4,0.0011078,0.0005488,0.000366
5,0.0011751,0.0006134,0.0003266
6,0.0010815,0.0005578,0.0003358
7,0.0011348,0.0006218,0.000322
8,0.0010864,0.0005576,0.0003406
9,0.0011851,0.0006207,0.0003271
10,0.0016386,0.0005931,0.0003447
11,0.0012459,0.0007149,0.0003307
12,0.001087,0.0005722,0.0003251
13,0.0010998,0.0005779,0.0003314
14,0.0010789,0.0005128,0.0003581
15,0.0012198,0.0006753,0.0003293
16,0.0011213,0.0005847,0.0003247
17,0.0011292,0.000613,0.0003282
18,0.0010741,0.0005647,0.0003242
19,0.0010935,0.0005776,0.0003276
20,0.0010936,0.0005562,0.0003228
21,0.0012068,0.0006707,0.0003314
22,0.0011188,0.000596,0.0003322
23,0.0010831,0.0005696,0.0003264
24,0.0025723,0.0006134,0.0003096
25,0.0014779,0.0008001,0.0003356
26,0.0011242,0.000588,0.0003293
27,0.0011092,0.0005977,0.0003254
28,0.0010202,0.0005058,0.0003225
29,0.0011825,0.0006547,0.0003347
30,0.0010778,0.0005497,0.0003298
31,0.0011167,0.0005981,0.0003308
32,0.0012937,0.0005235,0.0003273
33,0.0011612,0.0005994,0.0003594
34,0.0010622,0.0005183,0.000352
35,0.0012106,0.0006848,0.0003279
36,0.001201,0.0006233,0.0003515
37,0.0011325,0.0005932,0.0003315
38,0.001103,0.0005852,0.000329
39,0.0011074,0.0005749,0.0003311
40,0.0011101,0.0005788,0.0003283
41,0.001157,0.000621,0.0003266
42,0.0010945,0.0005786,0.0003271
43,0.001105,0.0005971,0.000324
44,0.0010691,0.0005491,0.0003274
45,0.0011619,0.0006179,0.0003322
46,0.0011306,0.0005674,0.0003265
47,0.0011745,0.0006507,0.0003292
48,0.0010255,0.0005135,0.0003261
49,0.0011032,0.0005869,0.0003294
50,0.0010597,0.0005533,0.0003117
51,0.0012134,0.0006811,0.0003284
52,0.0014927,0.000956,0.000343
53,0.0011384,0.0006266,0.0003256
54,0.0010327,0.0005269,0.0003192
55,0.0011089,0.0005721,0.0003362
56,0.0010973,0.0005776,0.0003206
57,0.0012467,0.0007199,0.0003282
58,0.0012001,0.0006809,0.0003279
59,0.0011346,0.0006177,0.0003288
60,0.0010437,0.00053,0.0003268
61,0.001135,0.0006069,0.0003242
62,0.0011325,0.0005878,0.0003363
63,0.0012272,0.0006943,0.0003318
64,0.001107,0.0005776,0.0003367
65,0.0011118,0.0006013,0.0003243
66,0.0012848,0.0007343,0.0003411
67,0.0012301,0.0006629,0.0003324
68,0.0013352,0.0007742,0.0003298
69,0.0012349,0.0007055,0.0003304
70,0.0010764,0.0005532,0.0003346
71,0.0012054,0.0006795,0.0003296
72,0.0011363,0.0005872,0.0003327
73,0.001164,0.0006435,0.000327
74,0.0010383,0.0005265,0.000325
75,0.001091,0.0005739,0.0003303
76,0.0010923,0.0005258,0.0003421
77,0.0015251,0.0009734,0.0003282
78,0.0011332,0.0005926,0.0003388
79,0.0011358,0.0006117,0.0003293
80,0.0011357,0.0006193,0.0003261
81,0.0011767,0.0006073,0.0003275
82,0.0012007,0.0006263,0.000333
83,0.001264,0.0007346,0.00033
84,0.0010778,0.0005631,0.0003263
85,0.0011345,0.0006185,0.0003275
86,0.0010339,0.0005206,0.0003273
87,0.0011202,0.0006029,0.0003281
88,0.0010584,0.0005292,0.0003393
89,0.0010975,0.0005706,0.0003338
90,0.001075,0.0005258,0.000353
91,0.0013401,0.0007084,0.0003392
92,0.0011495,0.0006348,0.000315
93,0.0012477,0.0006466,0.0003336
94,0.0011853,0.0006402,0.0003314
95,0.0012635,0.0007335,0.0003338
96,0.0010886,0.0005746,0.000324
97,0.0012063,0.0006145,0.0004005
98,0.0011318,0.0006085,0.0003296
99,0.0011673,0.0006459,0.0003297
100,0.0011072,0.0005923,0.0003241
101,0.0011004,0.0005828,0.0003302
102,0.0011049,0.0005636,0.0003234
103,0.0015042,0.0008923,0.0003545
104,0.0011138,0.0005886,0.0003305
105,0.0011043,0.0005873,0.0003293
106,0.0010363,0.0005206,0.0003279
107,0.0011081,0.0005811,0.0003311
108,0.0011504,0.0006168,0.0003333
109,0.0012981,0.0007718,0.0003333
110,0.0010579,0.0005408,0.0003285
111,0.0011326,0.0006183,0.0003272
112,0.0010582,0.0005501,0.0003219
113,0.0011515,0.0006206,0.0003305
114,0.0012164,0.0006575,0.0003285
115,0.0011534,0.0006087,0.0003434
116,0.0013501,0.0005979,0.0003294
117,0.0010731,0.0005487,0.000322
118,0.0012138,0.0006773,0.0003334
119,0.0011963,0.0006546,0.0003283
120,0.0011898,0.0006636,0.0003299
121,0.0011428,0.0006226,0.0003314
122,0.0010301,0.0005185,0.0003247
123,0.0011349,0.0005826,0.0003567
124,0.0012042,0.0005154,0.0003277
125,0.0012211,0.0006794,0.0003285
126,0.0011393,0.000614,0.0003241
127,0.0011518,0.0006367,0.0003273
128,0.0010766,0.0005805,0.0003039
129,0.0011903,0.0006528,0.0003279
130,0.0014495,0.0008326,0.0003298
131,0.0012175,0.0006428,0.0003341
132,0.0011259,0.000564,0.0003285
133,0.0011974,0.0006546,0.0003341
134,0.0013548,0.000819,0.0003153
135,0.0011782,0.0006188,0.0003421
136,0.0011262,0.0006058,0.0003298
137,0.0011419,0.0006232,0.0003327
138,0.0010611,0.0005369,0.000333
139,0.0011587,0.0006399,0.0003283
140,0.0013787,0.0008542,0.000327
141,0.0011165,0.0005889,0.0003352
142,0.0010172,0.0005005,0.0003287
143,0.0012162,0.0006471,0.0003293
144,0.0011893,0.0006253,0.0003291
145,0.0014172,0.0007918,0.0003788
146,0.001133,0.0005795,0.0003343
147,0.0011191,0.0005935,0.0003321
148,0.0011571,0.0005925,0.0003351
149,0.0012185,0.0007004,0.0003105
150,0.0011149,0.0005898,0.0003272
151,0.0011986,0.0006547,0.0003419
152,0.0011029,0.0005885,0.0003249
153,0.0011161,0.0005771,0.000344
154,0.0010847,0.0005369,0.0003532
155,0.0011207,0.0006025,0.0003331
156,0.0013697,0.0006072,0.0003442
157,0.0011349,0.0006203,0.0003274
158,0.0010448,0.0005336,0.0003248
159,0.0011326,0.0005739,0.0003394
160,0.001161,0.0006098,0.0003272
161,0.001119,0.0005835,0.0003331
162,0.0010547,0.00056,0.0003056
163,0.0010944,0.0005783,0.0003284
164,0.0010214,0.0005103,0.0003263
165,0.001191,0.0006472,0.0003349
166,0.0012529,0.0006967,0.0003493
167,0.001182,0.0006634,0.0003301
168,0.0010445,0.0005333,0.0003247
169,0.0011008,0.0005808,0.0003336
170,0.0015856,0.0008427,0.0003384
171,0.001291,0.0006964,0.0003386
172,0.0011099,0.0005585,0.0003493
173,0.0011682,0.0006533,0.0003276
174,0.0010402,0.000525,0.000329
175,0.0011786,0.000649,0.0003344
176,0.0011411,0.0006032,0.000331
177,0.0012792,0.0007508,0.0003299
178,0.0010649,0.0005392,0.0003258
179,0.001113,0.0005912,0.0003331
180,0.0010943,0.000528,0.0003588
181,0.0012184,0.0006734,0.0003282
182,0.0011447,0.0006339,0.0003059
183,0.0012321,0.0006974,0.0003255
184,0.0011074,0.0005843,0.0003279
185,0.001086,0.0005645,0.0003233
186,0.0011389,0.0006009,0.0003299
187,0.0011874,0.0006618,0.0003316
188,0.0011022,0.0005856,0.0003232
189,0.0010986,0.0005744,0.0003305
190,0.0010297,0.000515,0.0003276
191,0.0011493,0.0006084,0.0003472
192,0.0011275,0.0005897,0.0003308
193,0.0011745,0.0006557,0.00033
194,0.0010402,0.0005268,0.0003226
195,0.0010852,0.0005736,0.0003257
196,0.0010673,0.0005312,0.0003263
197,0.0012295,0.0006842,0.0003315
198,0.0013867,0.0008518,0.0003395
199,0.0011495,0.0006356,0.0003245
200,0.0010561,0.0005391,0.0003266
201,0.0010966,0.0005838,0.0003269
202,0.0011476,0.0006176,0.0003372
203,0.0011387,0.0006388,0.0003101
204,0.0010511,0.0005376,0.0003256
205,0.0012089,0.000674,0.0003279
206,0.0010957,0.0005768,0.0003282
207,0.0013046,0.0007172,0.0003753
208,0.0011403,0.0005734,0.0003342
209,0.0011551,0.0006193,0.0003376
210,0.0011304,0.000613,0.0003259
211,0.0010978,0.0005892,0.0003241
212,0.0010576,0.0005135,0.0003536
213,0.0011824,0.0006574,0.0003281
214,0.0011944,0.0006113,0.0003722
215,0.0011709,0.0006543,0.0003294
216,0.0010516,0.0005257,0.0003373
217,0.0010983,0.0005775,0.0003336
218,0.0011816,0.0006474,0.0003312
219,0.0012201,0.000694,0.0003321
220,0.0010941,0.0005745,0.0003256
221,0.0011809,0.0006564,0.0003278
222,0.0010708,0.0005599,0.0003258
223,0.0011566,0.0006348,0.0003103
224,0.0013139,0.0007218,0.0003326
225,0.0013547,0.0007946,0.0003259
226,0.0011257,0.0006032,0.0003287
227,0.0011169,0.0005872,0.0003401
228,0.0011351,0.0005946,0.0003338
229,0.0011889,0.0006657,0.0003224
230,0.0010854,0.0005671,0.0003228
231,0.0014998,0.0006782,0.0003492
232,0.0010614,0.0005364,0.0003283
233,0.0012249,0.0006836,0.0003337
234,0.0011123,0.0005921,0.0003225
235,0.0012034,0.0006817,0.0003254
236,0.0010572,0.0005435,0.0003248
237,0.0013365,0.0006334,0.000394
238,0.0013136,0.0007389,0.0003351
239,0.0013092,0.0007134,0.0003638
240,0.0011235,0.0005871,0.0003308
241,0.0012827,0.0006378,0.0003435
242,0.0010928,0.0005625,0.0003312
243,0.0012166,0.0006724,0.0003438
244,0.0011688,0.0006184,0.0003426
245,0.0012053,0.0005708,0.000334
246,0.0011361,0.0006056,0.0003361
247,0.0012134,0.0006854,0.0003334
248,0.0010926,0.0005345,0.0003575
249,0.0012231,0.0006868,0.0003362
250,0.0012473,0.0007347,0.0003055
251,0.0011843,0.0006607,0.0003325
252,0.0010689,0.0005461,0.0003297
253,0.0011772,0.0006059,0.0003715
254,0.0011582,0.0005983,0.0003443
255,0.0014863,0.0009078,0.0003563
256,0.0011361,0.000588,0.0003513
257,0.0011048,0.0005803,0.0003316
258,0.00123,0.0004961,0.0003353
259,0.0011774,0.0006278,0.000347
260,0.0011183,0.0005927,0.0003271
261,0.0011593,0.000628,0.0003416
262,0.0018633,0.0013086,0.0003349
263,0.0013527,0.0007484,0.0003292
264,0.0011655,0.0006046,0.0003359
265,0.001163,0.0006319,0.00033
266,0.0011468,0.0006218,0.0003326
267,0.0010948,0.0005797,0.0003277
268,0.0011286,0.0005926,0.0003387
269,0.0011884,0.0006299,0.0003496
270,0.0011222,0.0006022,0.0003297
271,0.001317,0.000585,0.0003296
272,0.0011029,0.0005494,0.000331
273,0.0012312,0.0006229,0.0004069
274,0.0011295,0.0005734,0.0003301
275,0.0012275,0.0006933,0.0003319
276,0.0011022,0.0005797,0.0003299
277,0.0011334,0.0006097,0.0003358
278,0.0010702,0.0005212,0.0003278
279,0.0011892,0.0006193,0.0003456
280,0.0011254,0.000597,0.0003329
281,0.0011211,0.0005817,0.0003317
282,0.0011639,0.0006425,0.0003301
283,0.0011155,0.0005965,0.00033
284,0.0011134,0.0005787,0.0003121
285,0.0013969,0.0008097,0.0003464
286,0.0011829,0.0006395,0.0003439
287,0.0011335,0.0006212,0.0003257
288,0.001022,0.0005151,0.000322
289,0.0012791,0.0006763,0.0003605
290,0.0012603,0.0006762,0.0003268
291,0.001143,0.0006263,0.0003271
292,0.0010488,0.000541,0.0003234
293,0.0010858,0.0005723,0.0003256
294,0.001057,0.0005104,0.0003517
295,0.0011974,0.0006698,0.0003244
296,0.0011884,0.0006163,0.000347
297,0.0011441,0.0006332,0.0003237
298,0.0011129,0.0005153,0.0003257
299,0.0011734,0.0006114,0.0003263
300,0.0011612,0.0006197,0.0003221
301,0.0012397,0.0007124,0.0003298
302,0.001125,0.0005733,0.0003341
303,0.0012217,0.0006562,0.0003646
304,0.0010734,0.0005555,0.0003309
305,0.001202,0.0006784,0.0003306
306,0.0011555,0.0006455,0.0003124
307,0.0011086,0.00057,0.0003445
308,0.0011001,0.000582,0.0003248
309,0.0011103,0.0005963,0.0003251
310,0.0014172,0.0005597,0.0003291
311,0.0013004,0.0007342,0.0003464
312,0.0011116,0.0005911,0.0003275
313,0.0011473,0.0006239,0.0003283
314,0.001041,0.0005302,0.0003258
315,0.001256,0.0007183,0.0003393
316,0.0011099,0.0005874,0.0003212
317,0.0012331,0.0007115,0.0003301
318,0.0010481,0.0005349,0.0003261
319,0.0010857,0.0005732,0.0003269
320,0.0010525,0.00051,0.0003385
321,0.0011714,0.0006338,0.0003283
322,0.0012345,0.0006817,0.0003471
323,0.0011424,0.0006132,0.000334
324,0.0010898,0.0005802,0.0003225
325,0.0010986,0.0005883,0.0003236
326,0.0010665,0.0005712,0.000305
327,0.0011327,0.0006096,0.0003311
328,0.0010471,0.0005294,0.0003281
329,0.0011214,0.0005979,0.0003285
330,0.0011121,0.0005905,0.0003281
331,0.0011735,0.0005779,0.0004027
332,0.0011481,0.000615,0.0003367
333,0.0012063,0.0006836,0.0003266
334,0.0010642,0.0005493,0.0003232
335,0.0010921,0.0005782,0.000327
336,0.0010183,0.0005098,0.0003229
337,0.001176,0.0006633,0.0003247
338,0.0013805,0.0008515,0.0003315
339,0.0011397,0.0006183,0.0003331
340,0.0010697,0.0005578,0.000326
341,0.0014535,0.0008947,0.0003383
342,0.0012095,0.0006145,0.000376
343,0.0013164,0.0007089,0.0003358
344,0.0011646,0.0006406,0.0003299
345,0.0011761,0.0006095,0.0003255
346,0.0011132,0.0005611,0.0003311
347,0.0011109,0.0005986,0.0003089
348,0.0011426,0.0006356,0.000318
349,0.0011314,0.000603,0.0003395
350,0.001045,0.0005307,0.0003283
351,0.0011048,0.0005937,0.0003233
352,0.0011473,0.0006251,0.0003258
353,0.001218,0.0006662,0.0003349
354,0.001343,0.0005751,0.0003379
355,0.0012079,0.0006914,0.0003284
356,0.0011165,0.0005677,0.0003465
357,0.0012276,0.000692,0.0003351
358,0.0010683,0.0005327,0.000332
359,0.0011155,0.0005824,0.0003431
