Frame,DeltaTime,ComputeTime,RenderTime
0,0.0369435,0.0257078,0.0108861
1,0.0374874,0.025667,0.0114763
2,0.038113,0.0262577,0.0114063
3,0.0374334,0.0260703,0.0110142
4,0.037266,0.0258041,0.0111191
5,0.0370325,0.0257456,0.010946
6,0.0375553,0.0258054,0.0114008
7,0.0380657,0.0261867,0.0115377
8,0.0381283,0.0262453,0.0115302
9,0.0378194,0.025936,0.0114275
10,0.0374366,0.0261236,0.0109578
11,0.0374262,0.0259759,0.0111204
12,0.0378218,0.0259394,0.0114073
13,0.0384122,0.0263037,0.0117503
14,0.0383636,0.026433,0.0115902
15,0.0372398,0.0261932,0.0107142
16,0.0372711,0.0257846,0.0111393
17,0.0372524,0.0261567,0.0107717
18,0.0369222,0.0258815,0.0106858
19,0.0373754,0.0258002,0.0112313
20,0.0368205,0.0257446,0.0107499
21,0.0366713,0.0255323,0.0108067
22,0.0379767,0.0257145,0.0118493
23,0.0387306,0.0262592,0.0115317
24,0.0384846,0.0260194,0.01158
25,0.0387007,0.0260699,0.0117005
26,0.0381442,0.0257558,0.011377
27,0.037596,0.0255967,0.0109703
28,0.0378069,0.0256253,0.0112801
29,0.0378527,0.0257245,0.0112386
30,0.0379605,0.0256464,0.0112719
31,0.0383172,0.0257811,0.0116396
32,0.0379162,0.0258684,0.0116905
33,0.0383986,0.0263349,0.0110661
34,0.0367032,0.0258392,0.010531
35,0.0372837,0.0257052,0.0112424
36,0.0369224,0.0260564,0.0105455
37,0.0375454,0.0256491,0.0115661
38,0.0390214,0.0263796,0.0115377
39,0.0379454,0.0260829,0.0109854
40,0.0373967,0.0258794,0.0111852
41,0.0367118,0.0260277,0.0103357
42,0.0374412,0.0256383,0.0114892
43,0.0383133,0.026138,0.01121
44,0.0374518,0.0257721,0.0106887
45,0.0458948,0.0300412,0.0148506
46,0.0414462,0.0288871,0.0121832
47,0.0392213,0.0267437,0.0118745
48,0.0386377,0.0269237,0.0112299
49,0.0379798,0.0266236,0.0110064
50,0.0389884,0.0262699,0.0123377
51,0.0384529,0.026394,0.0117189
52,0.0384908,0.0266501,0.0114789
53,0.0379567,0.0260863,0.0115394
54,0.0377335,0.0259016,0.0114779
55,0.0377857,0.0260222,0.011436
56,0.0373495,0.0260602,0.0109682
57,0.037884,0.0259731,0.0114362
58,0.0376963,0.0259271,0.0114091
59,0.0374618,0.0260289,0.0111011
60,0.0375752,0.0259108,0.0113278
61,0.0391927,0.0262844,0.0118055
62,0.0385369,0.0263092,0.0113148
63,0.0378195,0.025862,0.0110119
64,0.0378406,0.0256917,0.0112204
65,0.0383251,0.0259917,0.0113062
66,0.0381662,0.0259702,0.0112807
67,0.0373645,0.0257241,0.0112999
68,0.0372102,0.0261048,0.0107759
69,0.0378747,0.0259239,0.0115707
70,0.037311,0.0264248,0.0105652
71,0.0368301,0.0256328,0.0108495
72,0.0372622,0.0260659,0.0108674
