Frame,DeltaTime,ComputeTime,RenderTime
0,0.056558,0.0411059,0.0150578
1,0.0568135,0.0409748,0.0150542
2,0.0587555,0.0419141,0.0164944
3,0.0575706,0.0417306,0.0154999
4,0.0578123,0.0418014,0.015682
5,0.0574651,0.0416751,0.0154453
6,0.0577165,0.0414585,0.0159246
7,0.0576004,0.0417563,0.0154928
8,0.0579458,0.0416246,0.0158839
9,0.0579069,0.0417455,0.015806
10,0.057474,0.0416974,0.01544
11,0.0571887,0.0415338,0.0153124
12,0.0576676,0.0412958,0.0159883
13,0.0570859,0.0417128,0.0150238
14,0.057129,0.041344,0.0154429
15,0.0572459,0.041386,0.0155221
16,0.057385,0.0417264,0.0153149
17,0.0576437,0.0416233,0.0156614
18,0.057876,0.0415439,0.0156787
19,0.0572514,0.0415544,0.0152893
20,0.0573231,0.0414942,0.0154793
21,0.0580488,0.0415642,0.0159993
22,0.0572349,0.0416351,0.0152539
23,0.0573344,0.0414675,0.0155405
24,0.0575016,0.0414279,0.0157058
25,0.0577332,0.0418245,0.0155671
26,0.0574591,0.041618,0.0154965
27,0.0572429,0.0414231,0.0154719
28,0.0575575,0.0416401,0.01557
29,0.0576226,0.0416272,0.0156503
30,0.0579492,0.0415165,0.016088
31,0.0579864,0.0417796,0.0158585
32,0.0574798,0.0415877,0.0155429
33,0.057533,0.0417018,0.0154836
34,0.0574254,0.0415421,0.0155348
35,0.0577028,0.041534,0.0158206
36,0.0575936,0.0415388,0.0157091
37,0.0577798,0.0418997,0.0155338
38,0.0566356,0.0415829,0.0147038
39,0.0570509,0.0412993,0.0154113
40,0.0573223,0.0415073,0.0154774
41,0.0579289,0.041715,0.0158681
42,0.0574944,0.041651,0.0155001
43,0.0577059,0.0415929,0.0157736
44,0.0580016,0.0417765,0.0158857
45,0.0571918,0.0416523,0.0151951
46,0.0574603,0.0414222,0.0156976
47,0.0575155,0.041607,0.0155573
48,0.0576699,0.0416127,0.0157169
49,0.057941,0.0417165,0.0158709
50,0.0578303,0.0416446,0.0158421
51,0.057501,0.0415024,0.0156539
52,0.0576951,0.0416415,0.01572
53,0.0578785,0.0416626,0.0158725
54,0.0574583,0.0416491,0.0154635
55,0.0567422,0.041546,0.0148613
56,0.0568881,0.0413096,0.0152376
57,0.0577189,0.0413863,0.0159828
58,0.0575844,0.0417088,0.0155433
59,0.0575904,0.0415186,0.0156472
60,0.059399,0.0416163,0.0168723
61,0.0581895,0.041911,0.015664
62,0.0572513,0.0413612,0.015176
63,0.0574661,0.0411431,0.0156886
64,0.0576963,0.0413152,0.0157367
65,0.0573715,0.0413342,0.0156857
66,0.0572911,0.0415763,0.0153778
67,0.0573072,0.0415103,0.0154589
68,0.0575639,0.0415661,0.0156416
69,0.0576475,0.0415836,0.0157168
70,0.0570753,0.0416601,0.0149589
71,0.0576261,0.0413771,0.0159022
72,0.0572519,0.0416376,0.0152704
73,0.0576541,0.0415057,0.0158022
74,0.0573372,0.0416429,0.0153565
75,0.0574773,0.0415175,0.0156169
76,0.0574826,0.0416012,0.015525
77,0.0576797,0.0416143,0.0157138
78,0.057628,0.0415285,0.0157598
79,0.0579471,0.0416918,0.0159217
80,0.0576818,0.0416891,0.0156336
81,0.0574801,0.0415623,0.0155728
82,0.0574418,0.0416326,0.0154607
83,0.0573424,0.0416203,0.0153733
84,0.0579154,0.0415054,0.0160802
85,0.0575135,0.0417404,0.0154037
86,0.0570265,0.0413918,0.0152829
87,0.0575959,0.0415965,0.0156509
88,0.0570638,0.0417149,0.0150131
89,0.0573291,0.0413717,0.0156167
90,0.0588919,0.0415757,0.0169822
91,0.0536728,0.0378387,0.0154943
92,0.0581552,0.0416005,0.0157557
93,0.0576198,0.0411376,0.0158379
94,0.057777,0.0413744,0.015615
95,0.0572895,0.0412654,0.0156427
96,0.0579049,0.0418898,0.0156253
97,0.0575469,0.0417215,0.0154738
98,0.0576299,0.0416436,0.0156367
99,0.0575946,0.0416652,0.0155651
100,0.057457,0.0414271,0.0156803
101,0.0578575,0.0417171,0.0157958
102,0.0575539,0.0416501,0.0155602
103,0.0569474,0.0416094,0.0149916
104,0.0576062,0.0413672,0.0158963
105,0.0578454,0.0416064,0.0159014
106,0.0577622,0.041733,0.0156894
107,0.0573009,0.0416563,0.0153099
108,0.0575214,0.0414571,0.0157104
109,0.0574996,0.0416427,0.01552
110,0.0576483,0.0416839,0.0156078
111,0.0575533,0.0416193,0.015587
112,0.057713,0.0417077,0.0156321
113,0.0574791,0.0419857,0.015151
114,0.057455,0.0414627,0.0156432
